Day_0,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Group
-0.02158592601558516,0.3338399926936935,0.44530468346022495,0.3837283165198716,0.6506734825725099,0.7235758532223144,0.9298585378120705,1.0,A: Consolidation
-0.06964369839145317,0.5878675340517008,0.9693988476681861,1.0,1.0,1.0,1.0,1.0,A: Consolidation
0.015578533375314136,0.5152513129760158,0.8089230263272623,0.8204060897630058,1.0,1.0,1.0,1.0,A: Consolidation
-0.0006617439957356578,0.5103780997303573,0.7741087450398175,0.8118095409550526,1.0,1.0,1.0,1.0,A: Consolidation
0.07248538637659405,0.73709859682792,1.0,1.0,1.0,1.0,1.0,0.9234610736249944,A: Consolidation
0.014907636925124784,0.6373238547031854,1.0,1.0,1.0,1.0,0.8771708727587018,1.0,A: Consolidation
-0.0414948016703488,0.3859054981461516,0.7857860885699869,0.7965140115013218,0.9697239569292847,1.0,1.0,1.0,A: Consolidation
-0.07980792626157591,0.26679553992048194,0.4270805372074141,0.1798950332575838,0.3894064142465542,0.5896576478472498,0.5542967787638137,0.44767908679085694,A: Consolidation
0.03067188975794813,0.5988035549783973,0.9334894875949887,1.0,1.0,1.0,1.0,1.0,A: Consolidation
-0.01587985604735383,0.5312643110964006,0.7436565456470136,0.7564500244785302,0.8430290371302531,0.9664990965037596,1.0,1.0,A: Consolidation
-0.0036998326378108147,0.5454392111484401,0.8254705616633858,0.9183778350165707,1.0,1.0,1.0,0.9855981455385832,A: Consolidation
-0.030431545006598705,0.4301919150692389,0.542462679540561,1.0,1.0,1.0,1.0,1.0,A: Consolidation
-0.0999936505582451,0.303197211481201,0.5577516251343041,0.863725882217087,1.0,1.0,1.0,1.0,A: Consolidation
0.04541203462015275,0.36142562209270657,0.5214264665790764,0.7507930829812215,0.8008670272620957,0.9850093307015894,1.0,1.0,A: Consolidation
0.024148996508219,0.5708393857529649,0.7591222237803631,0.9671199611932099,1.0,1.0,1.0,1.0,A: Consolidation
0.011093922541105033,0.5795831268397096,0.7549541925460034,1.0,1.0,1.0,1.0,1.0,A: Consolidation
0.03320145896155354,0.5570516412260786,0.866696723083297,0.9805535991198236,1.0,1.0,1.0,1.0,A: Consolidation
-0.06229034050124299,0.38328088778996033,0.48075144491370303,0.9995273952261046,1.0,1.0,1.0,1.0,A: Consolidation
0.09844395358268127,0.7979492949525568,1.0,1.0,1.0,1.0,1.0,1.0,A: Consolidation
-0.015932446327516423,0.3819792264996348,0.5246262193346802,0.8694690150402968,0.9376914149472737,0.7855636759475435,0.8950699448786492,0.9850440331746831,A: Consolidation
0.01798839513558936,0.4193063684331732,0.5480041207038314,0.8063734997524343,1.0,1.0,1.0,1.0,A: Consolidation
0.03730855176947897,0.5155361735459082,0.8612120307095282,1.0,1.0,1.0,1.0,1.0,A: Consolidation
-0.13624295351299376,0.29370756478269,0.28298844945840357,0.04928111597138493,0.06655907457616327,0.0,0.0,0.0,A: Consolidation
